date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:12	113/113	U--MC-	200	updated ('OK')	text/plain	date:Wed,%2016%20Sep%202020%2007:10:13%20GMT	https://sparkden.com/robots.txt		(from )
21:10:13	53461/53461	U--MC-	200	updated ('OK')	text/html	date:Wed,%2016%20Sep%202020%2007:10:14%20GMT	https://sparkden.com/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/index.html	(from )
21:10:13	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2016%20Sep%202020%2007:10:14%20GMT	https://sparkden.com/xmlrpc.php	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/xmlrpc.php	(from https://sparkden.com/)
21:10:43	53907/53907	U-----	200	untouched ('OK')	text/css	date:Wed,%2002%20Sep%202020%2001:43:28%20GMT	https://sparkden.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/css/dist/block-library/style.mind03b.css	(from https://sparkden.com/)
21:10:46	1920/1920	U-----	200	untouched ('OK')	text/css	etag:%22780-5ae4ac37adc32-gzip%22	https://sparkden.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from https://sparkden.com/)
21:10:48	661/661	U-----	200	untouched ('OK')	text/css	etag:W/%22db3b745079e4606a70685c661ea1324b%22	https://use.fontawesome.com/releases/v5.12.0/css/brands.css?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/use.fontawesome.com/releases/v5.12.0/css/brandsd03b.css	(from https://sparkden.com/)
21:10:51	1849/1849	U-----	200	untouched ('')	application/rss+xml	etag:%2210a43ffbc524baa7443a551fc816d533%22	https://sparkden.com/feed/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/feed/index.html	(from https://sparkden.com/)
21:10:51	1622/1622	U-----	200	untouched ('')	application/rss+xml	etag:%22bc37a3c416366597d38cc668aeab3db1%22	https://sparkden.com/comments/feed/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/comments/feed/index.html	(from https://sparkden.com/)
21:10:51	55753/55753	U-----	200	untouched ('OK')	text/css	etag:W/%22fc6ece0b999d414f53c25c3999397fee%22	https://use.fontawesome.com/releases/v5.12.0/css/fontawesome.css?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/use.fontawesome.com/releases/v5.12.0/css/fontawesomed03b.css	(from https://sparkden.com/)
21:11:21	792688/792688	U-----	200	untouched ('OK')	text/css	etag:%22c1870-5a71d134e999a-gzip%22	https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/style4235.css	(from https://sparkden.com/)
21:11:24	59009/59009	U-----	200	untouched ('OK')	text/css	etag:%22e681-5ad25fde58762-gzip%22	https://sparkden.com/wp-includes/css/dashicons.min.css?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/css/dashicons.mind03b.css	(from https://sparkden.com/)
21:11:24	6817/6817	U-----	200	untouched ('')	application/javascript	etag:%221aa1-5a71d134fc66a-gzip%22	https://sparkden.com/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min.js?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/js/es6-promise.auto.mind03b.js	(from https://sparkden.com/)
21:11:24	96873/96873	U-----	200	untouched ('')	application/javascript	etag:%2217a69-58916944e5280-gzip%22	https://sparkden.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/js/jquery/jquery4a5f.js	(from https://sparkden.com/)
21:11:24	1696/1696	U-----	200	untouched ('')	application/javascript	etag:%226a0-5a71d134fc66a-gzip%22	https://sparkden.com/wp-content/themes/Divi/core/admin/js/recaptcha.js?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/js/recaptchad03b.js	(from https://sparkden.com/)
21:11:27	56856/56856	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:11:26%20GMT	https://sparkden.com/wp-json/wp/v2/pages/230300	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/wp/v2/pages/230300.json	(from https://sparkden.com/)
21:11:27	100891/100891	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:11:26%20GMT	https://sparkden.com/wp-json/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/index.html	(from https://sparkden.com/)
21:11:53	1045/1045	U-----	200	untouched ('')	application/xml	etag:%22415-4ed51298bbc00%22	https://sparkden.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/wlwmanifest.xml	(from https://sparkden.com/)
21:11:54	786/786	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2007:11:26%20GMT	https://sparkden.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/xmlrpc0db0.php	(from https://sparkden.com/)
